id,year,worst_performers,pct_change
0,2000,MSFT,-0.630399591
1,2000,HD,-0.331899206
2,2000,INTC,-0.277084859
3,2001,MRK,-0.35618124
4,2001,AXP,-0.339675651
5,2001,DIS,-0.248466068
6,2002,HD,-0.526191532
7,2002,INTC,-0.510106754
8,2002,MCD,-0.384195762
9,2003,MRK,-0.128433643
10,2003,JNJ,-0.030886832
11,2003,WMT,0.054352975
12,2004,MRK,-0.317250222
13,2004,INTC,-0.272635206
14,2004,KO,-0.161973627
15,2005,IBM,-0.161632187
16,2005,DIS,-0.12878967
17,2005,WMT,-0.118553298
18,2006,INTC,-0.179676065
19,2006,WMT,0.010832268
20,2006,HD,0.012379867
21,2007,HD,-0.330378576
22,2007,AXP,-0.143251065
23,2007,JPM,-0.069744246
24,2008,AXP,-0.638984437
25,2008,MRK,-0.452670081
26,2008,MSFT,-0.446851739
27,2009,XOM,-0.128528869
28,2009,WMT,-0.024380925
29,2009,PG,0.01413416
30,2010,MSFT,-0.069590518
31,2010,JNJ,-0.010431134
32,2010,JPM,0.018913302
33,2011,JPM,-0.210543893
34,2011,UTX,-0.055276925
35,2011,MSFT,-0.04997509
36,2012,INTC,-0.13355933
37,2012,MCD,-0.101602251
38,2012,CAT,-0.007903633
39,2013,IBM,-0.014897595
40,2013,CAT,-0.002906252
41,2013,MCD,0.120984269
42,2014,IBM,-0.122260606
43,2014,XOM,-0.051128258
44,2014,MCD,0.001155274
45,2015,WMT,-0.269737406
46,2015,AXP,-0.243238561
47,2015,CAT,-0.231932335
48,2016,KO,0.011213514
49,2016,DIS,0.025639337
50,2016,HD,0.052467056
51,2017,IBM,-0.045640046
52,2017,XOM,-0.045162888
53,2017,MRK,-0.019406848
54,2018,IBM,-0.230798769
55,2018,CAT,-0.179165097
56,2018,MMM,-0.170549254
